symbol,price
BCHUSDT,231.7
BCHUSDC,114.8
BCHTUSD,231.8
BCHPAX,617.72
BCHBUSD,231.4
BTCRUB,2788957
ETHRUB,165743.3
XRPRUB,53.03
BNBRUB,21444.38
TROYBNB,0.0000106
TROYBTC,0.00000018
TROYUSDT,0.002306
BUSDRUB,100.62
QTUMBUSD,2.537
VETBUSD,0.01671
VITEBNB,0.000707
VITEBTC,0.00000043
VITEUSDT,0.01192
FTTBNB,0.00513
FTTBTC,0.0000856
FTTUSDT,1.2364
BTCTRY,768547
BNBTRY,5912
BUSDTRY,27.76
ETHTRY,45679
XRPTRY,14.65
USDTTRY,27.76
USDTRUB,100.75
BTCEUR,26341.15
ETHEUR,1564.74
BNBEUR,202.5
XRPEUR,0.5019
EURBUSD,1.0516
EURUSDT,1.0512
OGNBNB,0.000383
OGNBTC,0.00000437
OGNUSDT,0.121
DREPBNB,0.0000938
DREPBTC,0.0000086
DREPUSDT,0.2384
BULLUSDT,1370.28
BULLBUSD,1368.56
BEARUSDT,11.16
BEARBUSD,11.14
ETHBULLUSDT,79.18
ETHBULLBUSD,78.46
ETHBEARUSDT,12.2
ETHBEARBUSD,12.24
TCTBNB,0.0004186
TCTBTC,0.00000016
TCTUSDT,0.00312
WRXBNB,0.000398
WRXBTC,0.00000455
WRXUSDT,0.0944
ICXBUSD,0.17
BTSUSDT,0.00921
BTSBUSD,0.0193
LSKUSDT,0.737
BNTUSDT,0.3953
BNTBUSD,0.3599
LTOBNB,0.00248
LTOBTC,0.00000205
LTOUSDT,0.0567
ATOMBUSD,6.966
DASHBUSD,25.83
NEOBUSD,7.14
WAVESBUSD,1.53
XTZBUSD,0.671
EOSBULLUSDT,3.85
EOSBULLBUSD,3.9
EOSBEARUSDT,30.21
EOSBEARBUSD,29.81
XRPBULLUSDT,8.74
XRPBULLBUSD,8.78
XRPBEARUSDT,548.55
XRPBEARBUSD,547.33
BATBUSD,0.1709
ENJBUSD,0.2256
NANOBUSD,2.225
ONTBUSD,0.1664
RVNBUSD,0.01525
STRATBUSD,0.4915
STRATBNB,0.019
STRATUSDT,0.4904
AIONBUSD,0.0721
AIONUSDT,0.00943
MBLBNB,0.00001202
MBLBTC,0.00000005
MBLUSDT,0.002953
COTIBNB,0.0001866
COTIBTC,0.00000143
COTIUSDT,0.0398
ALGOBUSD,0.0992
BTTBUSD,0.002778
TOMOBUSD,1.388
XMRBUSD,150
ZECBUSD,27.23
BNBBULLUSDT,57.21
BNBBULLBUSD,58.37
BNBBEARUSDT,58.61
BNBBEARBUSD,57.21
STPTBNB,0.00067
STPTBTC,0.00000238
STPTUSDT,0.06616
BTCZAR,545319
ETHZAR,32394
BNBZAR,5000
USDTZAR,19.69
BUSDZAR,19.69
BTCBKRW,42029197
ETHBKRW,1277799
BNBBKRW,44687
WTCUSDT,0.1517
DATABUSD,0.02392
DATAUSDT,0.02381
XZCUSDT,4.446
SOLBNB,0.1096
SOLBTC,0.0008442
SOLUSDT,23.37
SOLBUSD,23.39
BTCIDRT,693891182
BNBIDRT,4286985
USDTIDRT,15612
BUSDIDRT,14389
